,funding type,Categories,CB Rank (Company),Estimated Revenue Range,Operating Status,Number of Employees,Funding Status,Total Funding Amount Currency (in USD),fund_date
184,Seed,"Artificial Intelligence, Assistive Technology, Communication Hardware, Health Care, Internet of Things, Machine Learning, Robotics","94,360",,Active,1-10,Seed,,2018
185,Series A,"Artificial Intelligence, Hardware, Industrial Automation, Machine Learning, Operating Systems, Robotics","95,229",,Active,11-50,Early Stage Venture,,2016
186,Seed,Robotics,"96,511",,Active,,Seed,,2017
187,None,"Artificial Intelligence, Autonomous Vehicles, Blockchain, Cryptocurrency, Drones, Internet of Things, Machine Learning, Robotics","95,113",,Active,1-10,,,2017
188,Pre-Seed,"AgTech, Environmental Engineering, Information Technology, Machine Learning, Robotics","96,658",,Active,1-10,Seed,,2018
189,None,"Artificial Intelligence, Blockchain, Cloud Data Services, Information Technology, Machine Learning, Robotics","95,004",$1M to $10M,Active,11-50,,,2005
190,Series A,"Artificial Intelligence, Machine Learning, Robotics","98,436",,Active,1-10,Early Stage Venture,,2015
191,Angel,"Artificial Intelligence, Construction, Internet of Things, Machine Learning, Robotics","98,401",,Active,1-10,Seed,,2016
192,Seed,"Agriculture, AgTech, Artificial Intelligence, Blockchain, CleanTech, Communities, Data Integration, Data Mining, Environmental Engineering, FinTech, Green Building, GreenTech, Hydroponics, Industrial Automation, Information Technology, Organic, Organic Food, Robotics, Sustainability","98,870",,Active,1-10,Seed,,2017
193,None,"Artificial Intelligence, Education, Information Technology, Machine Learning, Robotics, Software","99,296",,Active,1-10,,,2017
194,Seed,"Machine Learning, Robotics, Software","84,013",,Active,,Seed,115000.0,None
195,None,"Artificial Intelligence, Augmented Reality, Computer Vision, Human Computer Interaction, Machine Learning, Robotics","101,499",,Active,11-50,,,2016
196,Series A,"Artificial Intelligence, Augmented Reality, Big Data, Blockchain, FinTech, IaaS, Intelligent Systems, Internet of Things, Machine Learning, Natural Language Processing, Operating Systems, PaaS, Predictive Analytics, Robotics, SaaS, Virtual Reality","99,211",,Active,11-50,Early Stage Venture,,2008
197,Seed,"Artificial Intelligence, Machine Learning, Mapping Services, Natural Resources, Oil and Gas, Robotics","103,461",,Active,,Seed,,2014
198,None,"Artificial Intelligence, Big Data, Information Technology, Internet of Things, Machine Learning, Robotics","103,048",,Active,101-250,,,2018
199,None,"Analytics, Artificial Intelligence, Predictive Analytics, Robotics, Software","105,429",$1M to $10M,Active,11-50,,,2009
200,Product Crowdfunding,"Artificial Intelligence, Communication Hardware, Computer Vision, Electronics, Field-Programmable Gate Array (FPGA), Hardware, Machine Learning, Real Time, Robotics, Security, Wireless","104,562",,Active,1-10,Seed,,2014
201,None,"Analytics, Big Data, Information Services, Information Technology, Robotics","107,343",$1M to $10M,Active,11-50,,,2013
202,None,"Information Technology, Machine Learning, Robotics, Software, Video","107,989",$10M to $50M,Active,51-100,,,1983
203,None,"Analytics, Information Technology, Machine Learning, Robotics, Software","105,105",,Active,,,,None
204,Seed,"Artificial Intelligence, Autonomous Vehicles, Blockchain, Machine Learning, Robotics, Software, Transportation","105,651",,Active,1-10,Seed,,2017
205,Seed,"Computer Vision, Hardware, Machine Learning, Manufacturing, Robotics, STEM Education","95,848",,Active,1-10,Seed,30000.0,2015
206,None,"Artificial Intelligence, Big Data, Business Intelligence, CRM, Data Visualization, Industrial Automation, Internet of Things, Machine Learning, Predictive Analytics, Robotics","109,012",$1M to $10M,Active,101-250,,,2002
207,None,"Artificial Intelligence, Big Data, Business Intelligence, Data Integration, Data Mining, Data Visualization, Database, Enterprise Software, Internet of Things, Machine Learning, Robotics, Sharing Economy, Software Engineering","110,200",,Active,1001-5000,,,2017
208,Seed,"Artificial Intelligence, Autonomous Vehicles, Clean Energy, FinTech, Internet of Things, Location Based Services, Predictive Analytics, Renewable Energy, Robotics, Wireless","110,521",$1M to $10M,Active,11-50,Seed,,2013
209,Grant,"Automotive, CleanTech, Energy Management, Energy Storage, Power Grid, Renewable Energy, Robotics","112,996",Less than $1M,Active,11-50,,,2015
210,None,"Artificial Intelligence, Information Technology, Internet, Machine Learning, Robotics, Transportation","105,721",Less than $1M,Active,11-50,,,2015
211,None,"Artificial Intelligence, Automotive, Computer Vision, Image Recognition, Machine Learning, Robotics, Software","110,497",$1M to $10M,Active,1-10,,,2013
212,None,"Artificial Intelligence, Information Technology, Robotics","114,479",Less than $1M,Active,1-10,,,2014
